ID,Name,City,Country,Award,Source List,Cuisine,Score\
82,Jubba,San Jose,United States,,San Francisco Chronicle,Somali,\
83,Besharam,San Francisco,United States,,San Francisco Chronicle,Indian,\
84,Sequoia Diner,Oakland,United States,,San Francisco Chronicle,Diner,\
85,Reem\'92s,San Francisco,United States,,San Francisco Chronicle,Middle Eastern,\
86,Cafe Colucci,Oakland,United States,,San Francisco Chronicle,Ethiopian,\
87,House of Prime Rib,San Francisco,United States,,San Francisco Chronicle,Steakhouse,\
88,The Laundromat,San Francisco,United States,,San Francisco Chronicle,Pizza,\
89,Ming\'92s Tasty,Oakland,United States,,San Francisco Chronicle,Dim sum,\
90,Goodtime Bar,San Jose,United States,,San Francisco Chronicle,Californian,\
91,Damansara,San Francisco,United States,,San Francisco Chronicle,Malaysian,\
92,Hilda and Jesse,San Francisco,United States,,San Francisco Chronicle,American,\
93,Alem\'92s Coffee,Oakland,United States,,San Francisco Chronicle,Eritrean,\
94,Charter Oak,St. Helena,United States,,San Francisco Chronicle,American,\
95,Vientian Cafe,Oakland,United States,,San Francisco Chronicle,Laotian,\
96,Mandalay,San Francisco,United States,,San Francisco Chronicle,Burmese,\
97,FOB Kitchen,Oakland,United States,,San Francisco Chronicle,Filipino,\
98,The Rotunda,San Francisco,United States,,San Francisco Chronicle,American,\
99,Shizen,San Francisco,United States,,San Francisco Chronicle,Vegan sushi,\
100,Poppy Bagels,Oakland,United States,,San Francisco Chronicle,Bagels,}
